"com.autonomic","logback-test","1.0.0","Autonomic Proprietary 1.0"
"com.fasterxml.jackson.core","jackson-annotations","2.8.9","Apache License, Version 2.0"
"com.github.davidmoten","guava-mini","0.1","Apache License, Version 2.0"
"com.github.davidmoten","junit-extras","0.3","Apache License, Version 2.0"
"com.github.davidmoten","state-machine-annotations","0.2.8.au1-SNAPSHOT","Apache License, Version 2.0"
"com.github.davidmoten","state-machine-runtime","0.2.8.au1-SNAPSHOT","Apache License, Version 2.0"
"com.github.javaparser","javaparser-core","3.2.10","Apache License, Version 2.0 | GNU Lesser General Public License"
"io.reactivex.rxjava2","rxjava","2.1.16","Apache License, Version 2.0"
"junit","junit","4.12","Eclipse Public License 1.0"
"org.apache.commons","commons-lang3","3.4","Apache License, Version 2.0"
"org.hamcrest","hamcrest-core","1.3","BSD 3-Clause"
"org.reactivestreams","reactive-streams","1.0.2","Public Domain"
