"com.autonomic","logback-test","1.0.0","Autonomic Proprietary 1.0"
"com.fasterxml.jackson.core","jackson-annotations","2.8.0","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-core","2.8.10","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-databind","2.8.9","Apache License, Version 2.0"
"com.github.davidmoten","guava-mini","0.1","Apache License, Version 2.0"
"com.github.davidmoten","state-machine-annotations","0.2.8.au1-SNAPSHOT","Apache License, Version 2.0"
"com.github.davidmoten","state-machine-generator","0.2.8.au1-SNAPSHOT","Apache License, Version 2.0"
"com.github.davidmoten","state-machine-runtime","0.2.8.au1-SNAPSHOT","Apache License, Version 2.0"
"com.github.javaparser","javaparser-core","3.2.10","Apache License, Version 2.0 | GNU Lesser General Public License"
"com.google.guava","guava","19.0","Apache License, Version 2.0"
"io.reactivex.rxjava2","rxjava","2.1.16","Apache License, Version 2.0"
"javax.annotation","jsr250-api","1.0","CDDL 1.1"
"javax.enterprise","cdi-api","1.0","Apache License, Version 2.0"
"javax.inject","javax.inject","1","Apache License, Version 2.0"
"junit","junit","4.12","Eclipse Public License 1.0"
"org.apache.commons","commons-lang3","3.5","Apache License, Version 2.0"
"org.apache.maven","maven-artifact","3.3.9","Apache License, Version 2.0"
"org.apache.maven","maven-model","3.3.9","Apache License, Version 2.0"
"org.apache.maven","maven-plugin-api","3.3.9","Apache License, Version 2.0"
"org.apache.maven.plugin-tools","maven-plugin-annotations","3.4","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-classworlds","2.5.2","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-component-annotations","1.5.5","Apache License, Version 2.0"
"org.codehaus.plexus","plexus-utils","3.0.22","Apache License, Version 2.0"
"org.eclipse.sisu","org.eclipse.sisu.inject","0.3.2","Eclipse Public License 1.0"
"org.eclipse.sisu","org.eclipse.sisu.plexus","0.3.2","Eclipse Public License 1.0"
"org.hamcrest","hamcrest-core","1.3","BSD 3-Clause"
"org.javassist","javassist","3.21.0-GA","Apache License, Version 2.0 | LGPL 2.1 | MPL 1.1"
"org.reactivestreams","reactive-streams","1.0.2","Public Domain"
"org.reflections","reflections","0.9.11","BSD 3-Clause | Public Domain"
